Pitch (MIDI),Time (s),Intensity,Tag
44.0,1.5982325077056885,0.0353968,Suspicious
45.0,1.6024441719055176,0.0299948,Suspicious
47.0,1.6287901401519775,0.024186559,Suspicious
49.0,1.659132480621338,0.034347318,Suspicious
51.0,1.688326120376587,0.043029334,Suspicious
51.0,1.7184429168701172,0.03468995,Suspicious
52.0,1.7228758335113525,0.035774343,Suspicious
53.0,1.7486293315887451,0.029180994,Suspicious
53.0,1.7803280353546143,0.035612654,Suspicious
53.0,1.808342695236206,0.04252335,Suspicious
53.0,1.8125722408294678,0.040449627,Suspicious
53.0,1.8385016918182373,0.040134996,Suspicious
54.0,1.868593454360962,0.030739054,Suspicious
54.0,1.8974649906158447,0.035787497,Suspicious
54.0,1.927513599395752,0.023863066,Suspicious
54.0,1.9322681427001953,0.032943007,Suspicious
54.0,1.9576141834259033,0.035180286,Suspicious
54.0,1.9873600006103516,0.035931516,Suspicious
54.0,2.017343759536743,0.03990166,Suspicious
54.0,2.021879196166992,0.043165147,Suspicious
54.0,2.0475070476531982,0.030549727,Suspicious
54.0,2.0775344371795654,0.025651833,Suspicious
54.0,2.1074728965759277,0.031216826,Suspicious
54.0,2.137557029724121,0.037781116,Suspicious
54.0,2.142873764038086,0.044680934,Suspicious
54.0,2.167703628540039,0.03294247,Suspicious
54.0,2.1973400115966797,0.027399616,Suspicious
54.0,2.2273013591766357,0.024796855,Suspicious
54.0,2.2318127155303955,0.028293077,Suspicious
54.0,2.256336212158203,0.05031038,OK
55.0,2.286630153656006,0.060301036,OK
55.0,2.307544469833374,0.050270956,OK
55.0,2.3478498458862305,0.03999467,Suspicious
54.0,2.35512638092041,0.036769554,Suspicious
54.0,2.391481637954712,0.034181148,Suspicious
54.0,2.395200252532959,0.039476823,Suspicious
54.0,2.421130895614624,0.047308754,Suspicious
54.0,2.4509286880493164,0.045676548,Suspicious
54.0,2.4807815551757812,0.036942042,Suspicious
54.0,2.483675003051758,0.03514478,Suspicious
54.0,2.5109596252441406,0.048661925,Suspicious
54.0,2.5407919883728027,0.039259393,Suspicious
54.0,2.570805072784424,0.033017702,Suspicious
54.0,2.600844383239746,0.02082619,Suspicious
54.0,2.603647232055664,0.02574186,Suspicious
54.0,2.6309409141540527,0.035665065,Suspicious
55.0,2.66082501411438,0.043626178,Suspicious
55.0,2.690824508666992,0.04130025,Suspicious
54.0,2.6934690475463867,0.037344225,Suspicious
54.0,2.7209300994873047,0.030819489,Suspicious
54.0,2.7498490810394287,0.031292945,Suspicious
54.0,2.7798328399658203,0.029912397,Suspicious
54.0,2.80985951423645,0.028196791,Suspicious
54.0,2.8126044273376465,0.024958717,Suspicious
54.0,2.839972496032715,0.023082098,Suspicious
54.0,2.869931221008301,0.020846382,Suspicious
53.0,2.8999807834625244,0.02030357,Suspicious
54.0,2.90267014503479,0.028293235,Suspicious
54.0,2.9301810264587402,0.027617237,Suspicious
54.0,2.960005044937134,0.036090884,Suspicious
53.0,2.990135669708252,0.032312293,Suspicious
53.0,2.9929494857788086,0.03329689,Suspicious
53.0,3.0201416015625,0.026004516,Suspicious
53.0,3.0491037368774414,0.02362987,Suspicious
53.0,3.0790324211120605,0.022738745,Suspicious
52.0,3.109954595565796,0.029317137,Suspicious
52.0,3.1141555309295654,0.03981458,Suspicious
51.0,3.1391212940216064,0.03547937,Suspicious
50.0,3.168994426727295,0.030899968,Suspicious
50.0,3.1990737915039062,0.039565627,Suspicious
49.0,3.2017290592193604,0.03454473,Suspicious
49.0,3.229245185852051,0.031547267,Suspicious
49.0,3.2590622901916504,0.039815214,Suspicious
49.0,3.2890920639038086,0.037421595,Suspicious
49.0,3.318946361541748,0.035968233,Suspicious
48.0,3.321577548980713,0.029082514,Suspicious
48.0,3.3492047786712646,0.024985567,Suspicious
48.0,3.3791563510894775,0.022812478,Suspicious
48.0,3.4094927310943604,0.021609094,Suspicious
48.0,3.4138312339782715,0.03298895,Suspicious
48.0,3.439202308654785,0.033634994,Suspicious
47.0,3.4690887928009033,0.02968264,Suspicious
47.0,3.4990665912628174,0.028069472,Suspicious
46.0,3.529866933822632,0.031702477,Suspicious
46.0,3.5363824367523193,0.03160073,Suspicious
34.0,3.559555768966675,0.03597404,Suspicious
33.0,3.589146614074707,0.03390293,Suspicious
46.0,3.619173765182495,0.039721407,Suspicious
46.0,3.6218039989471436,0.046116423,Suspicious
34.0,3.6482949256896973,0.045675047,Suspicious
76.0,3.67820405960083,0.036790982,Suspicious
45.0,3.708155632019043,0.03448551,Suspicious
45.0,3.711024761199951,0.024694603,Suspicious
45.0,3.738224506378174,0.03169296,Suspicious
46.0,3.768254041671753,0.03736115,Suspicious
46.0,3.7981643676757812,0.03739923,Suspicious
46.0,3.8281493186950684,0.02367679,Suspicious
46.0,3.8309080600738525,0.0246737,Suspicious
46.0,3.858361005783081,0.021572825,Suspicious
46.0,3.888181686401367,0.020136537,Suspicious
46.0,3.918217897415161,0.025389986,Suspicious
46.0,3.920884847640991,0.02677668,Suspicious
47.0,3.948319673538208,0.018282274,Suspicious
47.0,3.977281332015991,0.0277085,Suspicious
