Pitch (MIDI);Time (s);Intensity;Time Diff (s);Intensity_change;Pitch_change_umbrale
64;9.328766823;0.18365979;0.02098012;0.916236937;SAME PITCH
64;9.359197378;0.19950964;0.030430555;1.086300015;SAME PITCH
64;9.379293919;0.19767405;0.02009654;0.990799546;SAME PITCH
64;9.398763895;0.19367406;0.019469976;0.9797647;SAME PITCH
45;9.428724289;0.1874863;0.029960394;0.968050718;SAME PITCH
45;9.448810101;0.17843124;0.020085812;0.951702774;SAME PITCH
45;9.468898535;0.1643414;0.020088434;0.921034932;SAME PITCH
45;9.498981237;0.14748603;0.030082703;0.897436857;SAME PITCH
45;9.518759251;0.13624884;0.019778013;0.923808455;SAME PITCH
45;9.538738966;0.1187573;0.019979715;0.871620595;SAME PITCH
45;9.568065882;0.1118686;0.029326916;0.941993415;SAME PITCH
45;9.588977098;0.0978598;0.020911217;0.874774516;SAME PITCH
45;9.610019684;0.086789116;0.021042585;0.886871994;SAME PITCH
45;9.639763117;0.07496703;0.029743433;0.863783717;SAME PITCH
45;9.657669067;0.07354535;0.017905951;0.981036007;SAME PITCH
45;9.678815842;0.061873216;0.021146774;0.841293335;SAME PITCH
45;9.698883772;0.076247476;0.02006793;1.232317924;SAME PITCH
45;9.728796005;0.06247806;0.029912233;0.819411516;SAME PITCH
43;9.749629736;0.075112805;0.020833731;1.202226877;SAME PITCH
43;9.768871307;0.058673274;0.019241571;0.78113544;SAME PITCH
43;9.79904294;0.05941884;0.030171633;1.012707114;SAME PITCH
59;12.32873607;0.0729442;2.529693127;1.227627516;SAME PITCH
59;12.35066414;0.052938376;0.021928072;0.725737929;SAME PITCH
59;12.37884808;0.06522974;0.028183937;1.232182622;SAME PITCH
67;13.64526606;0.097300686;1.26641798;1.49166131;SAME PITCH
67;13.67525244;0.1399686;0.029986382;1.43851614;SAME PITCH
67;13.69523954;0.14140993;0.019987106;1.010297537;SAME PITCH
67;13.71523166;0.2262008;0.019992113;1.599610448;SAME PITCH
67;13.74521303;0.20425211;0.029981375;0.902968109;SAME PITCH
67;13.76520205;0.19691165;0.019989014;0.964061737;SAME PITCH
67;13.78519297;0.17421448;0.019990921;0.884734273;SAME PITCH
67;13.80518246;0.15410727;0.019989491;0.884583592;SAME PITCH
67;13.83516622;0.13597177;0.029983759;0.882318974;SAME PITCH
67;13.85515547;0.119885586;0.019989252;0.881694674;SAME PITCH
67;13.8751452;0.115960374;0.019989729;0.967258692;SAME PITCH
67;13.9051621;0.10970613;0.030016899;0.946065724;SAME PITCH
67;13.92511654;0.090981536;0.019954443;0.829320431;SAME PITCH
67;13.94510603;0.07389648;0.019989491;0.812214077;SAME PITCH
67;13.97508979;0.06780861;0.029983759;0.917616248;SAME PITCH
67;13.99507904;0.061489843;0.019989252;0.906814635;SAME PITCH
67;14.01507115;0.055051204;0.019992113;0.895289361;SAME PITCH
67;14.04505253;0.05051642;0.029981375;0.917626083;SAME PITCH
55;14.25494266;0.06342374;0.209890127;1.25550735;SAME PITCH
67;14.27493191;0.14926656;0.019989252;2.353480816;NEW PITCH
67;14.29492164;0.15636984;0.019989729;1.047587872;SAME PITCH
67;14.32990146;0.18956387;0.03497982;1.212278962;SAME PITCH
67;14.34489489;0.2237841;0.014993429;1.180520892;SAME PITCH
67;14.36488652;0.19872579;0.019991636;0.888024628;SAME PITCH
67;14.39986348;0.17994745;0.034976959;0.905506253;SAME PITCH
67;14.41489196;0.15367328;0.015028477;0.85398972;SAME PITCH
67;14.43985009;0.13131602;0.024958134;0.85451436;SAME PITCH
67;14.45483255;0.10951395;0.014982462;0.833972514;SAME PITCH
67;14.48982644;0.09612518;0.034993887;0.877743661;SAME PITCH
67;14.5048058;0.096029244;0.014979362;0.99900198;SAME PITCH
67;14.52979493;0.08241123;0.024989128;0.858188868;SAME PITCH
67;14.55481744;0.06378015;0.025022507;0.773925483;SAME PITCH
67;14.57976723;0.053087775;0.024949789;0.832355738;SAME PITCH
67;14.85934877;0.068136744;0.279581547;1.283473372;SAME PITCH
65;14.87929487;0.109601006;0.019946098;1.608544827;SAME PITCH
65;14.9087677;0.100564726;0.029472828;0.917552948;SAME PITCH
65;14.92971182;0.097300164;0.020944118;0.967537701;SAME PITCH
65;14.9486618;0.08524815;0.018949986;0.876135707;SAME PITCH
65;14.97957873;0.07100697;0.030916929;0.832944393;SAME PITCH
65;14.99852824;0.060487233;0.018949509;0.851849258;SAME PITCH
65;15.01947212;0.055365343;0.02094388;0.915322781;SAME PITCH
65;15.04939222;0.050908025;0.029920101;0.919492662;SAME PITCH
62;15.36934137;0.1106356;0.31994915;2.173244715;NEW PITCH
62;15.38933659;0.16900007;0.019995213;1.527537942;SAME PITCH
62;15.41924047;0.21988027;0.029903889;1.30106616;SAME PITCH
62;15.43938661;0.23134378;0.020146132;1.052135229;SAME PITCH
62;15.45709252;0.2145117;0.017705917;0.92724216;SAME PITCH
