Pitch (MIDI);Time (s);Intensity
78;0.02566576;0.11107342
55;0.027205706;0.1087088
49;0.019989729;0.10569418
49;0.019986868;0.10748537
49;0.033040047;0.110877104
49;0.019142866;0.10895494
49;0.01983428;0.111319885
49;0.028146744;0.1115039
49;0.020024776;0.1154907
43;0.021621466;0.1192763
43;0.030837297;0.11783132
43;0.01994729;0.12873532
43;0.01994586;0.124824814
43;0.029919386;0.1177119
43;0.019947529;0.11054068
78;0.019946098;0.106362775
43;0.029919624;0.10377922
49;0.020945787;0.10584605
49;0.018949509;0.1087787
49;0.030916452;0.109126724
49;0.018953323;0.108014
49;0.019941568;0.11432341
49;0.030918598;0.1124927
49;0.019946575;0.11157673
43;0.01998353;0.1204312
43;0.019187212;0.12240936
43;0.026886463;0.12602417
43;0.019990683;0.12981752
43;0.019988537;0.11584026
43;0.029978275;0.11852506
52;0.019961834;0.11079364
52;0.020059824;0.11644145
52;0.029947042;0.11363576
52;0.02021265;0.11361724
52;0.023490191;0.11076486
52;0.026734591;0.11093148
52;0.02021265;0.11418079
52;0.019988775;0.115166456
52;0.029979467;0.116230056
52;0.020234346;0.113926016
52;0.01996398;0.11280502
52;0.034431219;0.11532891
52;0.019988775;0.1182959
52;0.019989491;0.12548956
52;0.025879622;0.10820503
52;0.020198107;0.09508782
50;0.019997358;0.09200579
50;0.029983521;0.09083397
50;0.020082474;0.09781201
50;0.019996405;0.103654124
50;0.029984951;0.10268175
50;0.019991398;0.10871574
50;0.020419121;0.10532275
50;0.020048141;0.11596779
50;0.029989004;0.10838449
50;0.019995928;0.111947134
50;0.019763231;0.11863566
50;0.030668974;0.10870721
50;0.019762039;0.10769391
50;0.02170825;0.10396385
50;0.026933193;0.1017522
48;0.021687031;0.09802416
48;0.018307686;0.10132925
48;0.029977322;0.10396596
48;0.019855976;0.10640653
48;0.021954775;0.10777987
48;0.030072927;0.10863877
48;0.019763708;0.10868132
48;0.020219326;0.108731925
48;0.03011632;0.111460686
48;0.017631769;0.11119461
48;0.024802446;0.11696906
48;0.029945374;0.11626232
48;0.015030861;0.12055999
48;0.023866892;0.11253827
48;0.026405811;0.1060567
45;0.02025032;0.105656035
45;0.024040937;0.10343459
45;0.030192137;0.1020814
45;0.01624918;0.10883832
45;0.023864031;0.10021633
45;0.024977922;0.10639828
45;0.024013996;0.107744046
51;0.017072678;0.10637486
45;0.019436121;0.10927558
45;0.030195951;0.10545354
45;0.019987345;0.10859772
45;0.023030519;0.106491454
45;0.029989004;0.10664682
45;0.019827366;0.109335154
45;0.0201478;0.11022885
45;0.025114536;0.110943
45;0.026542902;0.098387115
45;0.015032768;0.062343925
45;0.030182838;0.049402718
45;0.023432016;0.034609172
45;0.016206741;0.044610593
45;0.035216808;0.039637264
45;0.019986153;0.046897233
45;0.014991045;0.04234782
45;0.033026218;0.057359654
45;0.019989729;0.05888061
45;0.020168543;0.043787334
45;0.026273966;0.038017083
45;0.023587465;0.045513827
45;0.021144629;0.04262705
45;0.029984474;0.025307797
45;0.020024538;0.02147152
