Pitch (MIDI);Time (s);Max Intensity;Max Intensity change;Pitch-duration (s);
72;16.93150139;0.10937949;0.590591013;0.030061483;FALSO
59;16.9500916;0.13087912;1.196559906;0.018590212;FALSO
72;16.97137666;0.149171;1.139761567;0.021285057;FALSO
60;17.00108838;0.16560593;1.110175133;0.029711723;FALSO
59;17.02165556;0.16115764;0.973139286;0.039988279;FALSO
47;17.07098293;0.13563813;0.902589917;0.029906273;FALSO
43;17.09144163;0.16496867;1.145806313;0.038956642;FALSO
59;17.14020848;0.14032349;0.886340618;0.051359415;FALSO
71;17.17971349;0.11526416;0.926751435;0.018414497;FALSO
59;17.20092177;0.1177529;1.021591663;0.051536322;FALSO
47;17.25124335;0.13208565;1.262355685;0.019993544;FALSO
59;17.27015114;0.16118075;1.149193406;0.120434046;FALSO
57;17.39100146;0.10842801;1.026391387;0.019324064;FALSO
33;17.41144037;0.11163255;1.029554486;0.02043891;FALSO
45;17.44146562;0.13476379;1.134189129;0.069612265;FALSO
33;17.51097775;0.14972855;1.111044407;0.029925108;FALSO
45;17.52993798;0.15631229;1.267974615;0.070231915;FALSO
57;17.6017611;0.22339283;1.429144382;0.020551443;FALSO
53;17.62128162;0.13542593;0.606223226;0.019520521;FALSO
51;17.65092421;0.10205491;0.753584743;0.029642582;FALSO
35;17.67166066;0.11326866;1.109879613;0.020736456;FALSO
59;17.68989229;0.11577997;1.022171259;0.01823163;FALSO
73;17.71970677;0.12155129;1.049847245;0.029814482;FALSO
72;17.74139428;0.11223676;0.923369527;0.021687508;FALSO
59;17.76146841;0.08166165;0.727583826;0.020074129;FALSO
62;17.79000139;0.13870473;1.257849097;0.070024252;FALSO
61;17.86150479;0.15679242;1.135797024;0.069465876;FALSO
62;17.92149591;0.13330421;1.056263685;0.020537376;FALSO
43;17.94984126;0.12549266;0.941400588;0.028345346;FALSO
62;17.97114849;0.1379838;1.127287984;0.071734428;FALSO
56;18.04013419;0.09666654;0.701762378;0.018558502;FALSO
52;18.06114173;0.080220126;0.829864502;0.021007538;FALSO
91;18.09120226;0.08319347;1.03706491;0.03006053;FALSO
62;18.11003661;0.08634678;1.037903309;0.018834352;FALSO
73;18.13078451;0.09496097;1.099762678;0.0207479;FALSO
80;18.16134524;0.11121259;1.171139956;0.030560732;FALSO
92;18.1813817;0.12188944;1.096004009;0.020036459;FALSO
62;18.19967508;0.1178535;0.966888487;0.018293381;FALSO
73;18.2313571;0.10720552;0.909650683;0.031682014;FALSO
62;18.25179672;0.12322073;1.090249538;0.038772106;FALSO
61;18.30033326;0.14142238;1.147715807;0.030204058;FALSO
60;18.32142282;0.1421308;1.005009294;0.021089554;FALSO
61;18.34410119;0.14480197;1.018793702;0.022678375;FALSO
62;18.37155557;0.15259965;1.283088565;0.097554207;FALSO
60;18.46000981;0.14757404;0.979583263;0.018354416;FALSO
55;18.4811337;0.17076005;1.157114387;0.021123886;FALSO
62;18.51081467;0.15995154;1.128032088;0.090422392;FALSO
63;18.60178542;0.13668399;0.906760514;0.03022933;FALSO
64;18.61975622;0.15180168;1.110603213;0.03960228;FALSO
52;18.67136979;0.09970828;0.934911788;0.02998209;FALSO
33;18.69017982;0.109250784;1.095704198;0.018810034;FALSO
64;18.71111012;0.12498346;1.082581043;0.071481705;FALSO
40;18.77975726;0.10964693;0.87729156;0.018095732;FALSO
52;18.81144309;0.13710113;1.132613778;0.070340395;FALSO
66;18.88029885;0.12587331;1.079807281;0.030201197;FALSO
54;18.90109086;0.102727614;0.816119075;0.020792007;FALSO
66;18.92121053;0.18240334;1.227314115;0.230260134;FALSO
47;19.16151643;0.12321293;0.979513049;0.030165434;FALSO
54;19.18164301;0.11194253;0.908529043;0.020126581;FALSO
47;19.20029044;0.116931796;1.04456985;0.018647432;FALSO
66;19.22861862;0.10973247;0.974289775;0.050890684;FALSO
67;19.26998973;0.10810815;1.011195421;0.018808603;FALSO
55;19.29135656;0.11984922;1.108604908;0.071823835;FALSO
67;19.3620286;0.09659698;1.004526019;0.020215034;FALSO
66;19.38965702;0.10959511;1.08875227;0.189270496;FALSO
64;19.56881452;0.10212329;1.114644527;0.070614576;FALSO
62;19.64098406;0.1371397;1.280140519;0.139128685;FALSO
50;19.78017426;0.12265146;1.026483774;0.019131899;FALSO
62;19.81001186;0.1501412;1.136155725;0.401342154;FALSO
50;20.20028329;0.13775395;1.075347781;0.01876688;FALSO
62;20.22133231;0.13634296;0.994018197;0.141512394;FALSO
76;20.3598783;0.08311672;0.835915864;0.018082619;FALSO
62;20.39088273;0.08512846;1.024203777;0.031004429;FALSO
52;20.41109896;0.0854806;1.004136682;0.020216227;FALSO
64;20.42872381;0.09319821;1.052286386;0.088250637;FALSO
66;20.53149605;0.10381637;1.109044433;0.071526289;FALSO
54;20.60133457;0.09439106;0.971632719;0.049982786;FALSO
66;20.64094377;0.0890804;0.982859492;0.067890406;FALSO
96;20.70830846;0.08502103;1.06761086;0.019559383;FALSO
104;20.73305798;0.07648278;0.899574876;0.024749517;FALSO
105;20.75866318;0.08283721;1.083083153;0.025605202;FALSO
63;20.7800231;0.088107415;1.056937814;0.042584181;FALSO
80;20.83112454;0.080851406;0.917645872;0.029877186;FALSO
66;20.84835124;0.09106839;1.098766208;0.17702508;FALSO
62;21.0413692;0.10157887;1.11541307;0.033219576;FALSO
67;21.06109595;0.098316394;0.967882335;0.019726753;FALSO
55;21.0815568;0.08023413;0.816080928;0.020460844;FALSO
67;21.11156106;0.099355936;1.165742278;0.069931269;FALSO
55;21.18149114;0.10308501;1.056692243;0.048834801;FALSO
67;21.22109747;0.10335648;1.002633452;0.050461531;FALSO
55;21.2714386;0.10475924;1.180751443;0.03934598;FALSO
43;21.31089401;0.11860239;1.308318257;0.020763636;FALSO
67;21.34129691;0.115056604;0.970103621;0.070450544;FALSO
55;21.41131186;0.09109657;1.020431042;0.029967308;FALSO
67;21.43127704;0.14359456;1.327905893;0.092454195;FALSO
90;21.52390218;0.14071228;1.110663295;0.050485611;FALSO
67;21.57262015;0.12258563;0.987495899;0.039433718;FALSO
43;21.6230154;0.10035445;0.829013765;0.029330015;FALSO
62;21.64391851;0.14299096;1.424859285;0.020903111;FALSO
67;21.66428614;0.15038647;1.051720142;0.089267015;FALSO
90;21.76320815;0.1511457;1.35466969;0.030022621;FALSO
66;21.78319597;0.16152413;1.068665147;0.019987822;FALSO
67;21.80100393;0.17569129;1.087709188;0.045607805;FALSO
91;21.85074091;0.093644425;1.176699519;0.021937132;FALSO
66;21.87471509;0.15866204;1.694303036;0.02397418;FALSO
