Pitch (MIDI),Time (s),Intensity
43.0,0.019991636276245117,0.016035104
43.0,0.019985198974609375,0.014255055
43.0,0.02869868278503418,0.010858293
43.0,0.020279645919799805,0.007602578
43.0,0.01671433448791504,0.005940571
43.0,0.03003549575805664,0.0070225173
43.0,0.02297353744506836,0.0060097836
43.0,0.019830942153930664,0.003934494
89.0,0.3297441005706787,0.07278796
78.0,0.015391349792480469,0.109851986
78.0,0.025665760040283203,0.11107342
55.0,0.027205705642700195,0.1087088
49.0,0.019989728927612305,0.10569418
49.0,0.019986867904663086,0.10748537
49.0,0.03304004669189453,0.110877104
49.0,0.019142866134643555,0.10895494
49.0,0.019834280014038086,0.111319885
49.0,0.028146743774414062,0.1115039
49.0,0.020024776458740234,0.1154907
43.0,0.0216214656829834,0.1192763
43.0,0.030837297439575195,0.11783132
43.0,0.019947290420532227,0.12873532
43.0,0.019945859909057617,0.124824814
43.0,0.02991938591003418,0.1177119
43.0,0.019947528839111328,0.11054068
78.0,0.01994609832763672,0.106362775
43.0,0.02991962432861328,0.10377922
49.0,0.02094578742980957,0.10584605
49.0,0.018949508666992188,0.1087787
49.0,0.030916452407836914,0.109126724
49.0,0.018953323364257812,0.108014
49.0,0.01994156837463379,0.11432341
49.0,0.030918598175048828,0.1124927
49.0,0.019946575164794922,0.11157673
43.0,0.019983530044555664,0.1204312
43.0,0.019187211990356445,0.12240936
43.0,0.026886463165283203,0.12602417
43.0,0.01999068260192871,0.12981752
43.0,0.019988536834716797,0.11584026
43.0,0.029978275299072266,0.11852506
52.0,0.019961833953857422,0.11079364
52.0,0.020059823989868164,0.11644145
52.0,0.02994704246520996,0.11363576
52.0,0.020212650299072266,0.11361724
52.0,0.023490190505981445,0.11076486
52.0,0.026734590530395508,0.11093148
52.0,0.020212650299072266,0.11418079
52.0,0.0199887752532959,0.115166456
52.0,0.029979467391967773,0.116230056
52.0,0.020234346389770508,0.113926016
52.0,0.019963979721069336,0.11280502
52.0,0.03443121910095215,0.11532891
52.0,0.0199887752532959,0.1182959
52.0,0.019989490509033203,0.12548956
52.0,0.025879621505737305,0.10820503
52.0,0.02019810676574707,0.09508782
50.0,0.019997358322143555,0.09200579
50.0,0.0299835205078125,0.09083397
50.0,0.020082473754882812,0.09781201
50.0,0.01999640464782715,0.103654124
50.0,0.02998495101928711,0.10268175
50.0,0.019991397857666016,0.10871574
50.0,0.02041912078857422,0.10532275
50.0,0.020048141479492188,0.11596779
50.0,0.029989004135131836,0.10838449
50.0,0.019995927810668945,0.111947134
50.0,0.01976323127746582,0.11863566
50.0,0.030668973922729492,0.10870721
50.0,0.019762039184570312,0.10769391
50.0,0.021708250045776367,0.10396385
50.0,0.02693319320678711,0.1017522
48.0,0.021687030792236328,0.09802416
48.0,0.01830768585205078,0.10132925
48.0,0.02997732162475586,0.10396596
48.0,0.019855976104736328,0.10640653
48.0,0.021954774856567383,0.10777987
48.0,0.030072927474975586,0.10863877
48.0,0.019763708114624023,0.10868132
48.0,0.02021932601928711,0.108731925
48.0,0.03011631965637207,0.111460686
48.0,0.01763176918029785,0.11119461
48.0,0.024802446365356445,0.11696906
48.0,0.02994537353515625,0.11626232
48.0,0.015030860900878906,0.12055999
48.0,0.023866891860961914,0.11253827
48.0,0.026405811309814453,0.1060567
45.0,0.020250320434570312,0.105656035
45.0,0.024040937423706055,0.10343459
45.0,0.030192136764526367,0.1020814
45.0,0.01624917984008789,0.10883832
45.0,0.023864030838012695,0.10021633
45.0,0.024977922439575195,0.10639828
45.0,0.024013996124267578,0.107744046
51.0,0.017072677612304688,0.10637486
45.0,0.019436120986938477,0.10927558
45.0,0.030195951461791992,0.10545354
